epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,18084.2,0.76679,0.71121,1.28622,0.818,0.78502,0.81474,0.56109,1.15308,0.81653,1.60939,0.000279476,0.000279476,0.000279476
55,18600.6,0.74342,0.69544,1.27508,0.84849,0.77319,0.8533,0.58262,1.15286,0.79071,1.62351,0.000273655,0.000273655,0.000273655
56,19117.2,0.7609,0.69936,1.27432,0.81807,0.82554,0.84375,0.58915,1.1279,0.78715,1.59036,0.000267834,0.000267834,0.000267834
57,19633.6,0.75158,0.68271,1.27385,0.80616,0.83477,0.85196,0.59043,1.15662,0.81642,1.63309,0.000262013,0.000262013,0.000262013
58,20149.8,0.74579,0.6755,1.27245,0.8787,0.73696,0.83324,0.57953,1.11802,0.81984,1.60854,0.000256192,0.000256192,0.000256192
59,20666.2,0.74736,0.67601,1.26627,0.85122,0.7476,0.82604,0.57478,1.139,0.81784,1.62531,0.00025037,0.00025037,0.00025037
60,21182.7,0.73616,0.6728,1.26264,0.82757,0.76311,0.82621,0.58343,1.12382,0.79418,1.6264,0.000244549,0.000244549,0.000244549
61,21699.1,0.73349,0.66611,1.26005,0.86587,0.78472,0.84634,0.593,1.1346,0.78935,1.62554,0.000238728,0.000238728,0.000238728
62,22215.5,0.73352,0.65531,1.26004,0.87243,0.78239,0.84134,0.59757,1.11851,0.76448,1.61541,0.000232907,0.000232907,0.000232907
63,22731.9,0.7318,0.65999,1.25735,0.84259,0.81131,0.83518,0.58476,1.10604,0.77705,1.59912,0.000227086,0.000227086,0.000227086
64,23248.4,0.70981,0.64668,1.23498,0.85406,0.78669,0.81801,0.57809,1.12635,0.80381,1.61135,0.000221264,0.000221264,0.000221264
65,23764.7,0.72251,0.64313,1.24606,0.89349,0.7389,0.84401,0.59096,1.11791,0.79488,1.62259,0.000215443,0.000215443,0.000215443
66,24281.2,0.71005,0.63774,1.23861,0.78937,0.83961,0.83758,0.60835,1.09952,0.73689,1.59422,0.000209622,0.000209622,0.000209622
67,24798.1,0.70559,0.62197,1.23203,0.82827,0.79649,0.83485,0.60035,1.08642,0.73652,1.60092,0.000203801,0.000203801,0.000203801
68,25315,0.70376,0.62441,1.2366,0.83656,0.74689,0.83172,0.59135,1.09252,0.78924,1.56964,0.00019798,0.00019798,0.00019798
69,25831.7,0.70542,0.61898,1.2312,0.82104,0.75795,0.81305,0.57925,1.10157,0.78001,1.59025,0.000192158,0.000192158,0.000192158
70,26348.4,0.69542,0.61372,1.23164,0.84565,0.77251,0.83342,0.58111,1.11473,0.79373,1.6295,0.000186337,0.000186337,0.000186337
71,26865.1,0.68291,0.59428,1.21826,0.87646,0.75418,0.83349,0.58996,1.1285,0.77075,1.62548,0.000180516,0.000180516,0.000180516
72,27381.9,0.68596,0.59971,1.21347,0.8714,0.75235,0.85198,0.60399,1.09722,0.77902,1.59311,0.000174695,0.000174695,0.000174695
73,27898.6,0.67601,0.58512,1.20915,0.80704,0.80253,0.83772,0.60099,1.10075,0.76996,1.61772,0.000168874,0.000168874,0.000168874
74,28415.4,0.66891,0.58335,1.20401,0.82942,0.74812,0.83073,0.60444,1.09514,0.75854,1.58235,0.000163052,0.000163052,0.000163052
75,28932.1,0.67559,0.58778,1.2103,0.83221,0.77941,0.8333,0.59562,1.09626,0.79972,1.55645,0.000157231,0.000157231,0.000157231
76,29448.8,0.67011,0.5742,1.20779,0.83691,0.78087,0.84082,0.61003,1.08191,0.76552,1.57187,0.00015141,0.00015141,0.00015141
77,29994.7,0.66433,0.57985,1.19882,0.84781,0.78834,0.84942,0.6086,1.08127,0.78256,1.57559,0.000145589,0.000145589,0.000145589
78,30639.5,0.66808,0.57348,1.19753,0.8758,0.78116,0.84776,0.61056,1.09776,0.79464,1.57989,0.000139768,0.000139768,0.000139768
79,31167.8,0.65717,0.57462,1.1938,0.85928,0.8076,0.84789,0.60692,1.09033,0.75885,1.58611,0.000133946,0.000133946,0.000133946
80,517.697,0.64479,0.55549,1.18598,0.89009,0.80189,0.86335,0.61585,1.08585,0.73058,1.57932,0.000128125,0.000128125,0.000128125
81,1036.76,0.64693,0.55131,1.18837,0.86129,0.79925,0.85857,0.60973,1.09563,0.7747,1.59763,0.000122304,0.000122304,0.000122304
82,1555.65,0.63979,0.55343,1.18634,0.86459,0.76734,0.84704,0.61103,1.08534,0.75478,1.5836,0.000116483,0.000116483,0.000116483
83,2074.88,0.62904,0.53179,1.17545,0.86133,0.75104,0.83185,0.60979,1.08853,0.78954,1.5993,0.000110662,0.000110662,0.000110662
84,2595.3,0.63206,0.53098,1.17738,0.87503,0.79261,0.8458,0.61871,1.08503,0.7745,1.599,0.00010484,0.00010484,0.00010484
85,3120.85,0.62229,0.52682,1.1691,0.85204,0.78065,0.83601,0.61335,1.08029,0.79063,1.59219,9.90192e-05,9.90192e-05,9.90192e-05
86,3641.34,0.62188,0.52153,1.16925,0.85171,0.78144,0.83603,0.6169,1.08833,0.76075,1.60402,9.3198e-05,9.3198e-05,9.3198e-05
87,4166.76,0.6138,0.52321,1.16638,0.86087,0.76092,0.81894,0.60726,1.10287,0.76427,1.61854,8.73768e-05,8.73768e-05,8.73768e-05
88,4691.98,0.6097,0.51715,1.16051,0.83855,0.79678,0.82852,0.60947,1.09579,0.74107,1.61373,8.15556e-05,8.15556e-05,8.15556e-05
89,5222.56,0.61096,0.51086,1.16003,0.88243,0.78108,0.8364,0.62006,1.09782,0.73378,1.6247,7.57344e-05,7.57344e-05,7.57344e-05
90,5754.18,0.6042,0.50948,1.15318,0.86454,0.77751,0.83702,0.62215,1.09245,0.73501,1.62256,6.99132e-05,6.99132e-05,6.99132e-05
91,529.34,0.60344,0.45089,1.12533,0.86357,0.75572,0.8301,0.61907,1.06729,0.75295,1.59487,6.4092e-05,6.4092e-05,6.4092e-05
92,527.9,0.55553,0.45915,1.12045,0.83602,0.81487,0.84616,0.62702,1.07158,0.7433,1.60434,5.82708e-05,5.82708e-05,5.82708e-05
93,1076.19,0.55544,0.45603,1.12257,0.84651,0.79175,0.83991,0.62069,1.08988,0.76861,1.63211,5.24496e-05,5.24496e-05,5.24496e-05
94,1600.48,0.54872,0.4586,1.11884,0.84905,0.7864,0.83515,0.61326,1.08602,0.76969,1.62146,4.66284e-05,4.66284e-05,4.66284e-05
95,2120.54,0.53619,0.44163,1.10838,0.84074,0.79544,0.83559,0.61069,1.08324,0.77861,1.6158,4.08072e-05,4.08072e-05,4.08072e-05
96,2641.57,0.53928,0.44183,1.11159,0.85106,0.79481,0.83723,0.60917,1.08124,0.77986,1.61768,3.4986e-05,3.4986e-05,3.4986e-05
97,3192.78,0.53712,0.43704,1.10767,0.86093,0.78445,0.83476,0.60719,1.07148,0.7875,1.60831,2.91648e-05,2.91648e-05,2.91648e-05
98,3744.8,0.53627,0.43909,1.10763,0.85287,0.79383,0.82477,0.60601,1.07427,0.79307,1.61194,2.33436e-05,2.33436e-05,2.33436e-05
99,4295.12,0.53165,0.43976,1.10663,0.85718,0.77283,0.81033,0.59973,1.07732,0.78575,1.61414,1.75224e-05,1.75224e-05,1.75224e-05
100,4834.22,0.53335,0.43714,1.10538,0.85525,0.77453,0.82365,0.60159,1.07918,0.76812,1.61599,1.17012e-05,1.17012e-05,1.17012e-05
